DateTime,Open,High,Low,Close,TickVolume,Spread
2024.03.20 08:00:00,2157.42000,2159.52000,2153.17000,2154.74000,8611,5
2024.03.20 12:00:00,2154.74000,2158.67000,2149.61000,2157.91000,12725,5
2024.03.20 16:00:00,2157.95000,2164.86000,2154.68000,2156.97000,14002,5
2024.03.20 20:00:00,2161.74000,2188.77000,2158.86000,2186.24000,18883,5
2024.03.21 00:00:00,2187.18000,2222.65000,2186.60000,2204.78000,17601,5
2024.03.21 04:00:00,2204.78000,2206.33000,2201.75000,2204.90000,9164,5
2024.03.21 08:00:00,2204.87000,2210.17000,2196.88000,2205.43000,16767,5
2024.03.21 12:00:00,2205.43000,2211.72000,2191.59000,2191.81000,20099,5
2024.03.21 16:00:00,2191.22000,2191.92000,2166.43000,2180.86000,22919,5
2024.03.21 20:00:00,2180.86000,2183.97000,2180.35000,2181.25000,4834,5
2024.03.22 00:00:00,2181.51000,2186.03000,2172.70000,2173.48000,8535,5
2024.03.22 04:00:00,2173.48000,2177.10000,2171.84000,2174.24000,10935,5
2024.03.22 08:00:00,2174.22000,2176.32000,2162.60000,2166.66000,15226,5
2024.03.22 12:00:00,2166.66000,2180.09000,2165.25000,2178.07000,17619,5
2024.03.22 16:00:00,2178.07000,2179.89000,2157.09000,2159.18000,20687,5
2024.03.22 20:00:00,2158.87000,2167.14000,2158.75000,2165.27000,6821,5
2024.03.25 00:00:00,2165.90000,2176.90000,2163.99000,2175.14000,11674,5
2024.03.25 04:00:00,2175.16000,2178.29000,2167.75000,2169.79000,10536,5
2024.03.25 08:00:00,2169.79000,2170.48000,2163.50000,2168.39000,13490,5
2024.03.25 12:00:00,2168.39000,2181.26000,2167.61000,2177.12000,16125,5
2024.03.25 16:00:00,2177.15000,2180.52000,2174.24000,2174.72000,14592,5
2024.03.25 20:00:00,2174.72000,2174.72000,2170.71000,2171.73000,4744,5
2024.03.26 00:00:00,2171.60000,2174.41000,2167.57000,2169.38000,7116,5
2024.03.26 04:00:00,2169.38000,2173.34000,2169.27000,2173.01000,6143,5
2024.03.26 08:00:00,2172.87000,2195.05000,2169.62000,2190.89000,11586,5
2024.03.26 12:00:00,2190.81000,2200.03000,2178.46000,2182.95000,17857,5
2024.03.26 16:00:00,2182.91000,2186.39000,2171.67000,2176.77000,16926,5
2024.03.26 20:00:00,2176.77000,2178.63000,2174.59000,2178.63000,4484,5
2024.03.27 00:00:00,2178.08000,2180.30000,2172.87000,2175.14000,6710,1
2024.03.27 04:00:00,2175.14000,2181.59000,2174.68000,2177.03000,6865,5
2024.03.27 08:00:00,2176.91000,2193.84000,2176.46000,2189.17000,11046,5
2024.03.27 12:00:00,2188.97000,2197.55000,2183.50000,2193.31000,18723,5
2024.03.27 16:00:00,2193.25000,2195.24000,2188.40000,2190.38000,16071,5
