DateTime,Open,High,Low,Close,TickVolume,Spread
2024.03.20 06:30:00,2158.99000,2159.15000,2158.60000,2158.60000,208,6
2024.03.20 06:45:00,2158.60000,2158.82000,2156.83000,2156.85000,381,6
2024.03.20 07:00:00,2156.85000,2157.72000,2156.73000,2157.27000,378,6
2024.03.20 07:15:00,2157.28000,2157.84000,2156.57000,2157.69000,224,5
2024.03.20 07:30:00,2157.70000,2158.23000,2157.31000,2158.01000,366,8
2024.03.20 07:45:00,2158.02000,2158.20000,2157.20000,2157.44000,335,5
2024.03.20 08:00:00,2157.42000,2157.91000,2156.83000,2157.84000,349,5
2024.03.20 08:15:00,2157.79000,2158.22000,2156.50000,2156.58000,442,5
2024.03.20 08:30:00,2156.58000,2157.29000,2156.42000,2156.97000,422,5
2024.03.20 08:45:00,2156.95000,2157.68000,2156.75000,2156.99000,352,5
2024.03.20 09:00:00,2157.08000,2158.44000,2156.90000,2157.67000,461,5
2024.03.20 09:15:00,2157.67000,2159.02000,2157.34000,2158.99000,414,5
2024.03.20 09:30:00,2159.00000,2159.52000,2157.71000,2157.90000,511,5
2024.03.20 09:45:00,2157.90000,2158.60000,2156.95000,2158.26000,480,5
2024.03.20 10:00:00,2158.20000,2158.38000,2154.80000,2155.04000,802,5
2024.03.20 10:15:00,2155.04000,2156.96000,2154.51000,2156.34000,705,5
2024.03.20 10:30:00,2156.31000,2156.88000,2155.91000,2155.91000,588,5
2024.03.20 10:45:00,2155.91000,2156.20000,2155.07000,2156.19000,683,5
2024.03.20 11:00:00,2156.16000,2156.16000,2154.78000,2154.85000,641,5
2024.03.20 11:15:00,2154.85000,2155.58000,2154.47000,2155.53000,592,5
2024.03.20 11:30:00,2155.53000,2155.92000,2155.18000,2155.59000,553,5
2024.03.20 11:45:00,2155.59000,2155.82000,2153.17000,2154.74000,616,5
2024.03.20 12:00:00,2154.74000,2154.95000,2153.66000,2154.49000,619,5
2024.03.20 12:15:00,2154.44000,2154.44000,2152.36000,2153.44000,603,5
2024.03.20 12:30:00,2153.42000,2154.43000,2153.41000,2154.43000,573,5
2024.03.20 12:45:00,2154.43000,2154.77000,2153.80000,2154.30000,434,5
2024.03.20 13:00:00,2154.30000,2154.49000,2152.77000,2153.20000,551,5
2024.03.20 13:15:00,2153.20000,2153.78000,2152.34000,2153.75000,602,5
2024.03.20 13:30:00,2153.83000,2155.05000,2153.15000,2154.62000,451,5
2024.03.20 13:45:00,2154.63000,2155.06000,2153.82000,2153.97000,533,5
2024.03.20 14:00:00,2153.98000,2155.24000,2152.86000,2153.13000,756,5
2024.03.20 14:15:00,2153.13000,2155.17000,2152.89000,2154.18000,840,5
2024.03.20 14:30:00,2154.20000,2154.31000,2149.78000,2149.85000,996,5
2024.03.20 14:45:00,2149.85000,2153.78000,2149.61000,2153.17000,897,5
2024.03.20 15:00:00,2153.23000,2155.91000,2152.77000,2154.77000,1036,5
2024.03.20 15:15:00,2154.77000,2154.77000,2151.17000,2151.17000,910,5
2024.03.20 15:30:00,2151.18000,2154.97000,2150.51000,2154.24000,1580,5
2024.03.20 15:45:00,2154.02000,2158.67000,2154.02000,2157.91000,1344,5
2024.03.20 16:00:00,2157.95000,2164.86000,2157.44000,2163.17000,1961,5
2024.03.20 16:15:00,2163.17000,2164.04000,2160.67000,2161.06000,1307,5
2024.03.20 16:30:00,2161.06000,2161.06000,2157.40000,2158.02000,1295,5
2024.03.20 16:45:00,2158.02000,2158.06000,2155.65000,2157.09000,1130,5
2024.03.20 17:00:00,2157.09000,2158.69000,2156.27000,2158.19000,1089,5
2024.03.20 17:15:00,2158.22000,2158.56000,2156.13000,2156.49000,777,5
2024.03.20 17:30:00,2156.49000,2157.05000,2154.68000,2155.48000,876,5
2024.03.20 17:45:00,2155.48000,2156.71000,2155.06000,2155.87000,720,5
2024.03.20 18:00:00,2155.89000,2158.41000,2155.59000,2157.23000,701,5
2024.03.20 18:15:00,2157.23000,2158.03000,2156.49000,2157.21000,694,5
2024.03.20 18:30:00,2157.08000,2158.11000,2156.41000,2157.51000,570,5
2024.03.20 18:45:00,2157.57000,2158.64000,2156.77000,2157.69000,566,5
2024.03.20 19:00:00,2157.67000,2158.12000,2156.90000,2157.81000,504,5
2024.03.20 19:15:00,2157.81000,2158.46000,2156.65000,2157.91000,582,5
2024.03.20 19:30:00,2157.87000,2158.98000,2157.30000,2157.50000,472,5
2024.03.20 19:45:00,2157.50000,2159.60000,2156.01000,2156.97000,758,5
2024.03.20 20:00:00,2161.74000,2175.16000,2158.86000,2167.75000,2849,5
2024.03.20 20:15:00,2167.78000,2168.96000,2163.94000,2168.82000,2210,5
2024.03.20 20:30:00,2169.00000,2176.48000,2162.24000,2174.11000,2753,5
2024.03.20 20:45:00,2174.26000,2183.59000,2172.61000,2181.83000,2495,5
2024.03.20 21:00:00,2182.07000,2185.63000,2178.50000,2181.39000,2181,5
2024.03.20 21:15:00,2181.37000,2188.77000,2180.53000,2188.07000,1955,5
2024.03.20 21:30:00,2187.85000,2188.08000,2182.25000,2182.56000,1308,5
2024.03.20 21:45:00,2182.58000,2183.79000,2180.83000,2182.85000,1033,5
2024.03.20 22:00:00,2182.82000,2184.58000,2182.82000,2183.59000,593,5
2024.03.20 22:15:00,2183.61000,2187.19000,2183.22000,2185.97000,650,7
2024.03.20 22:30:00,2185.99000,2186.40000,2185.42000,2185.85000,450,5
2024.03.20 22:45:00,2185.85000,2186.31000,2185.33000,2186.24000,406,5
2024.03.21 00:00:00,2187.18000,2193.34000,2186.60000,2193.05000,633,5
2024.03.21 00:15:00,2193.05000,2222.65000,2192.74000,2207.97000,1599,5
2024.03.21 00:30:00,2208.46000,2208.56000,2195.32000,2196.14000,1217,5
2024.03.21 00:45:00,2196.12000,2204.69000,2193.49000,2200.86000,905,10
2024.03.21 01:00:00,2200.84000,2204.43000,2196.34000,2204.04000,720,5
2024.03.21 01:15:00,2203.94000,2206.22000,2200.60000,2203.18000,852,6
2024.03.21 01:30:00,2203.25000,2206.18000,2201.98000,2205.20000,843,5
2024.03.21 01:45:00,2205.06000,2206.02000,2203.29000,2203.89000,813,7
2024.03.21 02:00:00,2203.96000,2203.96000,2200.32000,2203.09000,1046,13
2024.03.21 02:15:00,2203.09000,2203.43000,2195.97000,2196.77000,1167,10
2024.03.21 02:30:00,2196.77000,2198.71000,2192.34000,2194.08000,1278,12
2024.03.21 02:45:00,2194.08000,2199.50000,2193.63000,2198.99000,1152,13
2024.03.21 03:00:00,2198.86000,2212.37000,2197.98000,2208.95000,1956,5
2024.03.21 03:15:00,2208.87000,2209.59000,2203.04000,2203.24000,1305,9
2024.03.21 03:30:00,2203.24000,2204.64000,2201.38000,2203.82000,1058,5
2024.03.21 03:45:00,2203.82000,2205.43000,2202.47000,2204.78000,1057,5
2024.03.21 04:00:00,2204.78000,2206.33000,2204.43000,2205.51000,905,8
2024.03.21 04:15:00,2205.49000,2205.53000,2203.81000,2204.38000,591,5
2024.03.21 04:30:00,2204.33000,2205.05000,2202.65000,2202.92000,793,5
2024.03.21 04:45:00,2202.92000,2204.91000,2202.68000,2203.41000,720,5
2024.03.21 05:00:00,2203.40000,2205.00000,2203.31000,2203.84000,633,5
2024.03.21 05:15:00,2203.84000,2204.89000,2203.67000,2203.86000,493,6
2024.03.21 05:30:00,2203.86000,2203.89000,2202.49000,2202.89000,435,6
2024.03.21 05:45:00,2202.89000,2203.09000,2201.75000,2202.80000,422,5
2024.03.21 06:00:00,2202.80000,2203.18000,2201.85000,2202.86000,327,6
2024.03.21 06:15:00,2202.86000,2204.09000,2202.56000,2203.65000,374,5
2024.03.21 06:30:00,2203.61000,2204.02000,2201.85000,2202.93000,493,6
2024.03.21 06:45:00,2202.93000,2203.71000,2202.66000,2203.31000,427,6
2024.03.21 07:00:00,2203.31000,2204.18000,2202.69000,2203.21000,486,5
2024.03.21 07:15:00,2203.21000,2203.59000,2201.84000,2202.47000,433,5
2024.03.21 07:30:00,2202.48000,2205.08000,2202.31000,2204.27000,862,5
2024.03.21 07:45:00,2204.27000,2205.17000,2203.09000,2204.90000,770,5
2024.03.21 08:00:00,2204.87000,2209.55000,2204.32000,2208.06000,977,5
2024.03.21 08:15:00,2208.15000,2208.36000,2206.47000,2206.85000,729,5
2024.03.21 08:30:00,2206.84000,2206.84000,2204.98000,2206.25000,679,5
2024.03.21 08:45:00,2206.25000,2208.77000,2205.89000,2207.19000,746,5
2024.03.21 09:00:00,2207.05000,2208.92000,2206.67000,2207.45000,857,5
2024.03.21 09:15:00,2207.45000,2210.10000,2206.96000,2210.00000,918,5
2024.03.21 09:30:00,2209.95000,2210.17000,2207.21000,2207.52000,1023,5
2024.03.21 09:45:00,2207.52000,2208.63000,2206.44000,2206.56000,1094,5
2024.03.21 10:00:00,2206.58000,2206.73000,2204.34000,2204.51000,1157,5
2024.03.21 10:15:00,2204.58000,2206.48000,2203.55000,2203.68000,1183,5
2024.03.21 10:30:00,2203.71000,2204.27000,2196.88000,2197.98000,1784,5
2024.03.21 10:45:00,2198.00000,2201.51000,2197.44000,2201.50000,1357,5
2024.03.21 11:00:00,2201.50000,2202.84000,2199.93000,2202.42000,1296,5
2024.03.21 11:15:00,2202.42000,2205.44000,2201.91000,2204.69000,948,5
2024.03.21 11:30:00,2204.75000,2205.07000,2202.86000,2204.90000,1048,5
2024.03.21 11:45:00,2204.94000,2206.02000,2204.07000,2205.43000,971,5
2024.03.21 12:00:00,2205.43000,2210.23000,2205.23000,2209.38000,1147,5
2024.03.21 12:15:00,2209.38000,2211.72000,2209.24000,2210.91000,1154,5
2024.03.21 12:30:00,2210.91000,2211.66000,2207.48000,2207.69000,1158,5
2024.03.21 12:45:00,2207.69000,2208.82000,2207.04000,2207.65000,766,5
2024.03.21 13:00:00,2207.68000,2208.83000,2206.29000,2207.54000,939,5
2024.03.21 13:15:00,2207.54000,2207.73000,2205.54000,2206.36000,754,5
2024.03.21 13:30:00,2206.32000,2208.20000,2206.14000,2206.56000,753,5
2024.03.21 13:45:00,2206.53000,2207.85000,2205.41000,2207.41000,920,5
2024.03.21 14:00:00,2207.50000,2208.79000,2206.87000,2207.85000,1225,5
2024.03.21 14:15:00,2207.88000,2208.89000,2206.30000,2207.28000,1219,5
2024.03.21 14:30:00,2207.31000,2208.36000,2203.25000,2205.54000,1782,5
2024.03.21 14:45:00,2205.52000,2208.54000,2204.62000,2207.70000,1318,5
2024.03.21 15:00:00,2207.74000,2208.10000,2202.68000,2204.24000,1403,5
2024.03.21 15:15:00,2204.21000,2204.32000,2200.32000,2202.03000,1531,5
2024.03.21 15:30:00,2202.19000,2202.23000,2197.97000,2199.65000,1765,5
2024.03.21 15:45:00,2199.04000,2201.00000,2191.59000,2191.81000,2265,5
2024.03.21 16:00:00,2191.22000,2191.92000,2181.73000,2184.31000,2471,5
2024.03.21 16:15:00,2184.28000,2186.52000,2176.57000,2176.88000,2263,5
2024.03.21 16:30:00,2176.82000,2181.53000,2175.67000,2178.07000,2060,5
2024.03.21 16:45:00,2178.05000,2181.19000,2176.41000,2176.62000,1662,5
2024.03.21 17:00:00,2176.62000,2176.88000,2168.70000,2172.48000,2143,5
2024.03.21 17:15:00,2172.43000,2173.62000,2166.43000,2167.72000,1664,5
2024.03.21 17:30:00,2167.67000,2173.39000,2167.22000,2171.71000,1604,5
2024.03.21 17:45:00,2171.71000,2175.02000,2171.71000,2174.63000,1440,5
2024.03.21 18:00:00,2174.63000,2177.39000,2173.02000,2176.75000,1259,5
2024.03.21 18:15:00,2176.86000,2178.72000,2175.52000,2177.72000,1277,5
2024.03.21 18:30:00,2177.72000,2178.60000,2176.40000,2177.31000,811,5
2024.03.21 18:45:00,2177.31000,2180.33000,2177.20000,2179.93000,850,5
2024.03.21 19:00:00,2179.93000,2183.55000,2178.55000,2182.71000,1007,5
2024.03.21 19:15:00,2182.61000,2183.82000,2181.19000,2182.99000,993,5
2024.03.21 19:30:00,2182.92000,2183.43000,2179.87000,2181.09000,732,5
2024.03.21 19:45:00,2181.09000,2181.17000,2179.54000,2180.86000,683,5
2024.03.21 20:00:00,2180.86000,2183.19000,2180.86000,2181.38000,555,5
2024.03.21 20:15:00,2181.38000,2182.00000,2180.49000,2181.42000,449,5
2024.03.21 20:30:00,2181.42000,2182.95000,2180.95000,2182.92000,494,5
2024.03.21 20:45:00,2182.92000,2183.97000,2182.18000,2182.87000,556,5
2024.03.21 21:00:00,2182.87000,2183.70000,2182.07000,2182.15000,538,5
2024.03.21 21:15:00,2182.17000,2182.36000,2181.71000,2182.20000,391,5
2024.03.21 21:30:00,2182.20000,2182.32000,2181.07000,2181.71000,388,5
2024.03.21 21:45:00,2181.71000,2182.06000,2180.35000,2181.45000,450,5
2024.03.21 22:00:00,2181.63000,2182.25000,2180.95000,2182.15000,295,5
2024.03.21 22:15:00,2182.15000,2182.42000,2181.22000,2181.35000,222,5
2024.03.21 22:30:00,2181.35000,2181.74000,2180.91000,2180.94000,231,5
2024.03.21 22:45:00,2180.86000,2181.27000,2180.49000,2181.25000,265,5
2024.03.22 00:00:00,2181.51000,2182.52000,2181.11000,2182.45000,386,5
2024.03.22 00:15:00,2182.32000,2182.41000,2181.62000,2181.92000,205,5
2024.03.22 00:30:00,2181.96000,2182.02000,2181.12000,2181.12000,146,5
2024.03.22 00:45:00,2181.12000,2181.26000,2180.92000,2181.13000,152,16
2024.03.22 01:00:00,2181.13000,2181.50000,2180.97000,2181.49000,241,5
2024.03.22 01:15:00,2181.49000,2181.49000,2180.80000,2181.49000,192,16
2024.03.22 01:30:00,2181.49000,2181.61000,2181.05000,2181.29000,256,5
2024.03.22 01:45:00,2181.26000,2181.83000,2180.80000,2181.65000,405,18
2024.03.22 02:00:00,2181.65000,2182.71000,2180.95000,2182.54000,523,17
2024.03.22 02:15:00,2182.63000,2184.45000,2182.49000,2184.01000,488,11
2024.03.22 02:30:00,2184.01000,2186.03000,2183.56000,2185.49000,565,14
2024.03.22 02:45:00,2185.49000,2185.60000,2183.62000,2184.92000,646,13
2024.03.22 03:00:00,2184.92000,2185.94000,2183.35000,2184.98000,961,6
2024.03.22 03:15:00,2184.98000,2185.27000,2183.49000,2183.83000,719,7
2024.03.22 03:30:00,2183.84000,2184.04000,2179.56000,2181.58000,1239,5
2024.03.22 03:45:00,2181.60000,2182.24000,2172.70000,2173.48000,1411,5
2024.03.22 04:00:00,2173.48000,2177.08000,2173.14000,2175.57000,1221,5
2024.03.22 04:15:00,2175.57000,2177.10000,2175.03000,2175.53000,986,5
2024.03.22 04:30:00,2175.56000,2175.78000,2171.84000,2173.53000,947,6
2024.03.22 04:45:00,2173.65000,2174.41000,2172.13000,2172.53000,1036,9
2024.03.22 05:00:00,2172.53000,2174.55000,2172.18000,2173.92000,808,5
2024.03.22 05:15:00,2173.89000,2174.57000,2172.44000,2174.06000,619,8
2024.03.22 05:30:00,2174.06000,2175.99000,2173.64000,2175.79000,548,6
2024.03.22 05:45:00,2175.78000,2176.20000,2173.73000,2173.75000,519,6
2024.03.22 06:00:00,2173.75000,2174.47000,2173.40000,2173.91000,498,8
2024.03.22 06:15:00,2173.88000,2174.35000,2173.16000,2173.28000,439,8
2024.03.22 06:30:00,2173.28000,2175.38000,2173.28000,2174.36000,363,8
2024.03.22 06:45:00,2174.34000,2174.38000,2173.38000,2173.54000,448,9
2024.03.22 07:00:00,2173.56000,2174.89000,2173.01000,2174.84000,520,10
2024.03.22 07:15:00,2174.84000,2175.77000,2173.80000,2174.30000,544,7
2024.03.22 07:30:00,2174.30000,2175.47000,2173.35000,2174.74000,722,6
2024.03.22 07:45:00,2174.72000,2174.92000,2173.49000,2174.24000,717,6
2024.03.22 08:00:00,2174.22000,2174.72000,2172.48000,2174.39000,637,7
2024.03.22 08:15:00,2174.39000,2176.32000,2173.17000,2173.58000,769,5
2024.03.22 08:30:00,2173.59000,2174.18000,2172.43000,2172.51000,689,8
2024.03.22 08:45:00,2172.51000,2173.47000,2169.92000,2170.09000,963,5
2024.03.22 09:00:00,2170.10000,2170.45000,2167.54000,2167.78000,1107,5
2024.03.22 09:15:00,2167.78000,2168.38000,2162.60000,2165.06000,1316,5
2024.03.22 09:30:00,2164.98000,2169.32000,2164.89000,2167.22000,1022,5
2024.03.22 09:45:00,2167.19000,2169.96000,2165.95000,2168.45000,1004,5
2024.03.22 10:00:00,2168.45000,2169.29000,2165.81000,2166.76000,1133,5
2024.03.22 10:15:00,2166.78000,2167.20000,2164.94000,2166.27000,960,5
2024.03.22 10:30:00,2166.27000,2167.75000,2165.53000,2167.35000,1064,5
2024.03.22 10:45:00,2167.35000,2168.71000,2165.48000,2167.92000,924,5
2024.03.22 11:00:00,2167.92000,2170.11000,2167.82000,2168.81000,1195,5
2024.03.22 11:15:00,2168.80000,2170.00000,2167.29000,2168.67000,861,5
2024.03.22 11:30:00,2168.67000,2169.30000,2166.40000,2167.53000,761,5
2024.03.22 11:45:00,2167.53000,2167.57000,2165.68000,2166.66000,821,5
2024.03.22 12:00:00,2166.66000,2167.35000,2166.03000,2166.03000,729,5
2024.03.22 12:15:00,2166.07000,2167.57000,2165.90000,2166.72000,737,5
2024.03.22 12:30:00,2166.77000,2168.04000,2166.09000,2167.40000,808,5
2024.03.22 12:45:00,2167.37000,2168.59000,2166.89000,2167.19000,833,5
2024.03.22 13:00:00,2167.19000,2168.12000,2166.61000,2167.56000,744,5
2024.03.22 13:15:00,2167.59000,2168.16000,2166.51000,2167.16000,705,5
2024.03.22 13:30:00,2167.16000,2167.76000,2165.51000,2165.93000,756,5
2024.03.22 13:45:00,2165.91000,2166.63000,2165.25000,2166.10000,755,5
2024.03.22 14:00:00,2166.10000,2171.48000,2165.84000,2171.29000,1275,5
2024.03.22 14:15:00,2171.29000,2174.61000,2170.80000,2172.81000,1561,5
2024.03.22 14:30:00,2172.81000,2176.16000,2171.91000,2175.53000,1430,5
2024.03.22 14:45:00,2175.54000,2175.93000,2173.77000,2174.60000,1139,5
2024.03.22 15:00:00,2174.57000,2175.77000,2172.55000,2174.44000,1352,5
2024.03.22 15:15:00,2174.41000,2176.21000,2173.98000,2174.56000,1233,5
2024.03.22 15:30:00,2174.56000,2176.56000,2173.12000,2175.74000,1857,5
2024.03.22 15:45:00,2175.93000,2180.09000,2175.75000,2178.07000,1705,5
2024.03.22 16:00:00,2178.07000,2179.89000,2174.05000,2174.51000,1904,5
2024.03.22 16:15:00,2174.47000,2174.93000,2172.55000,2174.75000,1509,5
2024.03.22 16:30:00,2174.80000,2175.93000,2171.22000,2174.33000,1692,5
2024.03.22 16:45:00,2174.26000,2175.12000,2172.16000,2173.94000,1352,5
2024.03.22 17:00:00,2173.86000,2173.86000,2168.64000,2169.49000,1463,5
2024.03.22 17:15:00,2169.50000,2170.41000,2166.87000,2169.45000,1539,5
2024.03.22 17:30:00,2169.42000,2169.42000,2167.18000,2168.09000,1374,5
2024.03.22 17:45:00,2168.13000,2168.61000,2165.47000,2166.10000,1250,5
2024.03.22 18:00:00,2166.02000,2167.51000,2165.67000,2165.98000,1359,5
2024.03.22 18:15:00,2166.03000,2166.45000,2165.15000,2165.66000,1017,5
2024.03.22 18:30:00,2165.59000,2165.81000,2164.33000,2164.36000,908,5
2024.03.22 18:45:00,2164.36000,2164.46000,2161.58000,2162.58000,1193,5
2024.03.22 19:00:00,2162.59000,2164.87000,2162.59000,2163.07000,964,5
2024.03.22 19:15:00,2163.07000,2163.93000,2157.09000,2158.44000,1350,5
2024.03.22 19:30:00,2158.51000,2160.41000,2157.92000,2159.07000,1004,5
2024.03.22 19:45:00,2159.07000,2160.60000,2158.52000,2159.18000,809,5
2024.03.22 20:00:00,2158.87000,2161.16000,2158.75000,2161.05000,837,6
2024.03.22 20:15:00,2161.06000,2164.78000,2160.91000,2163.98000,1035,5
2024.03.22 20:30:00,2163.98000,2164.07000,2162.12000,2162.18000,644,5
2024.03.22 20:45:00,2162.20000,2163.14000,2162.15000,2163.09000,635,5
2024.03.22 21:00:00,2163.14000,2163.47000,2161.95000,2162.53000,577,5
2024.03.22 21:15:00,2162.53000,2163.81000,2161.85000,2163.20000,495,5
2024.03.22 21:30:00,2163.20000,2164.79000,2162.83000,2164.51000,470,5
2024.03.22 21:45:00,2164.53000,2165.20000,2163.42000,2164.00000,585,5
2024.03.22 22:00:00,2164.02000,2166.04000,2163.60000,2165.63000,479,5
2024.03.22 22:15:00,2165.63000,2167.14000,2165.43000,2166.01000,467,5
2024.03.22 22:30:00,2166.01000,2166.04000,2164.90000,2165.40000,355,6
2024.03.22 22:45:00,2165.30000,2165.66000,2164.82000,2165.27000,242,14
2024.03.25 00:00:00,2165.90000,2167.81000,2165.42000,2167.73000,679,5
2024.03.25 00:15:00,2167.73000,2167.73000,2165.85000,2166.18000,219,5
2024.03.25 00:30:00,2166.18000,2166.18000,2165.04000,2165.72000,292,20
2024.03.25 00:45:00,2165.69000,2166.87000,2165.33000,2166.41000,267,18
2024.03.25 01:00:00,2166.41000,2168.47000,2165.94000,2167.82000,475,13
2024.03.25 01:15:00,2167.77000,2168.65000,2166.81000,2166.91000,437,13
2024.03.25 01:30:00,2166.86000,2168.46000,2166.75000,2167.78000,406,10
2024.03.25 01:45:00,2167.79000,2168.89000,2167.69000,2168.29000,483,15
2024.03.25 02:00:00,2168.39000,2169.39000,2166.91000,2167.49000,597,15
2024.03.25 02:15:00,2167.49000,2167.49000,2163.99000,2164.82000,750,15
2024.03.25 02:30:00,2164.82000,2166.30000,2164.21000,2164.75000,739,15
2024.03.25 02:45:00,2164.73000,2165.69000,2164.39000,2165.52000,826,11
2024.03.25 03:00:00,2165.49000,2166.25000,2164.03000,2165.65000,1064,5
2024.03.25 03:15:00,2165.69000,2173.89000,2165.61000,2172.44000,1791,5
2024.03.25 03:30:00,2172.42000,2176.90000,2172.00000,2175.42000,1616,5
2024.03.25 03:45:00,2175.48000,2175.79000,2173.78000,2175.14000,1033,5
2024.03.25 04:00:00,2175.16000,2176.55000,2173.77000,2175.82000,1007,5
2024.03.25 04:15:00,2175.82000,2177.03000,2175.12000,2175.52000,766,6
2024.03.25 04:30:00,2175.45000,2178.29000,2175.30000,2176.33000,816,5
2024.03.25 04:45:00,2176.29000,2176.56000,2174.89000,2175.05000,680,6
