DateTime,Open,High,Low,Close,TickVolume,Spread
2024.03.20 07:00:00,151.48300,151.57300,151.43300,151.53500,2091,1
2024.03.20 08:00:00,151.53500,151.58100,151.46300,151.47000,1985,0
2024.03.20 09:00:00,151.47000,151.50400,151.33700,151.48500,3508,0
2024.03.20 10:00:00,151.48500,151.54400,151.42300,151.44900,3430,0
2024.03.20 11:00:00,151.44800,151.76200,151.44700,151.68300,2725,0
2024.03.20 12:00:00,151.68300,151.74900,151.64800,151.66500,2135,0
2024.03.20 13:00:00,151.66500,151.73500,151.63100,151.70700,2765,0
2024.03.20 14:00:00,151.70800,151.78300,151.65400,151.75800,3299,0
2024.03.20 15:00:00,151.75800,151.81700,151.69500,151.74000,2425,0
2024.03.20 16:00:00,151.74000,151.75400,151.61900,151.66900,2184,0
2024.03.20 17:00:00,151.66900,151.67400,151.53100,151.66000,2056,0
2024.03.20 18:00:00,151.65900,151.67400,151.54800,151.61300,2415,0
2024.03.20 19:00:00,151.61300,151.63300,151.52500,151.61200,2006,0
2024.03.20 20:00:00,151.61200,151.70800,150.71500,150.78600,9106,0
2024.03.20 21:00:00,150.78200,151.22000,150.77300,151.21200,5665,0
2024.03.20 22:00:00,151.21300,151.40000,151.20900,151.24500,1821,0
2024.03.20 23:00:00,151.25000,151.28500,151.18600,151.19100,718,9
2024.03.21 00:00:00,151.19000,151.20800,150.84700,150.85200,2299,6
2024.03.21 01:00:00,150.85200,150.94200,150.67800,150.73500,2656,4
2024.03.21 02:00:00,150.73200,150.86400,150.54000,150.61700,4614,0
2024.03.21 03:00:00,150.62000,150.64700,150.26100,150.49900,4156,1
2024.03.21 04:00:00,150.49900,150.52100,150.34000,150.48700,2841,0
2024.03.21 05:00:00,150.49100,150.54900,150.38600,150.48800,2190,1
2024.03.21 06:00:00,150.48800,150.78900,150.44700,150.76100,2237,1
2024.03.21 07:00:00,150.76100,151.00300,150.75400,150.99500,2153,0
2024.03.21 08:00:00,150.99400,151.08800,150.84900,150.99400,2707,0
2024.03.21 09:00:00,150.99400,151.22400,150.85000,151.22100,3809,0
2024.03.21 10:00:00,151.22100,151.45600,151.09200,151.17100,4847,0
2024.03.21 11:00:00,151.16900,151.24000,151.04900,151.08300,4469,0
2024.03.21 12:00:00,151.08300,151.11600,150.86900,151.10700,3002,0
2024.03.21 13:00:00,151.10700,151.17200,150.96800,151.10900,3346,1
2024.03.21 14:00:00,151.10900,151.31600,151.01200,151.16300,4629,1
2024.03.21 15:00:00,151.16600,151.44200,151.16100,151.40400,4812,0
2024.03.21 16:00:00,151.40400,151.57400,151.39400,151.50800,4190,0
2024.03.21 17:00:00,151.50800,151.66700,151.47400,151.59100,3740,0
2024.03.21 18:00:00,151.58900,151.75300,151.57000,151.69200,2506,0
2024.03.21 19:00:00,151.69100,151.73800,151.66200,151.72400,1748,0
2024.03.21 20:00:00,151.72300,151.72400,151.64600,151.67100,1150,2
2024.03.21 21:00:00,151.67100,151.72900,151.66200,151.68100,1178,2
2024.03.21 22:00:00,151.68200,151.69400,151.59900,151.61200,642,0
2024.03.21 23:00:00,151.61200,151.64100,151.49500,151.58300,433,9
2024.03.22 00:00:00,151.58500,151.61700,151.54100,151.54400,514,7
2024.03.22 01:00:00,151.54300,151.69600,151.54300,151.63000,1542,3
2024.03.22 02:00:00,151.62100,151.65000,151.44400,151.52700,2308,0
2024.03.22 03:00:00,151.52700,151.86000,151.48800,151.77900,3277,1
2024.03.22 04:00:00,151.78000,151.79000,151.41600,151.62700,3409,0
2024.03.22 05:00:00,151.62700,151.65000,151.50900,151.56600,2631,0
2024.03.22 06:00:00,151.56500,151.60400,151.49500,151.58400,1841,2
2024.03.22 07:00:00,151.58200,151.59300,151.47100,151.48500,1539,1
2024.03.22 08:00:00,151.48500,151.52400,151.25800,151.30700,2510,0
2024.03.22 09:00:00,151.30900,151.50500,151.27400,151.41600,3848,0
2024.03.22 10:00:00,151.41700,151.53500,151.30400,151.47700,3556,0
2024.03.22 11:00:00,151.47700,151.65000,151.43100,151.61600,2852,0
2024.03.22 12:00:00,151.61400,151.64900,151.54800,151.61200,2864,0
2024.03.22 13:00:00,151.61100,151.62100,151.43900,151.46700,3159,0
